id,x,y,time
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,18,0
4,1,18,0
4,1,18,0
4,1,18,0
4,1,18,0
4,1,17,0
4,1,17,0
4,1,17,0
4,1,17,0
4,1,16,0
4,1,16,0
4,1,16,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
1,1,1,0
3,19,1,0
2,19,19,0
1,1,1,0
3,19,1,0
2,19,19,0
4,1,15,1
4,1,15,1
4,1,15,1
4,1,15,1
4,2,15,1
4,2,15,1
4,2,15,1
4,2,15,1
4,3,15,1
4,3,15,1
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
4,3,15,2
3,19,1,1
2,19,19,1
1,1,1,1
4,3,15,2
3,19,1,1
2,19,19,1
1,1,1,1
4,3,15,2
4,3,14,2
4,3,14,2
4,3,14,2
4,3,14,2
4,3,14,2
4,3,13,2
4,3,13,2
1,1,1,2
2,19,19,2
3,19,1,2
4,3,13,2
1,1,1,2
2,19,19,2
3,19,1,2
4,3,13,2
4,3,13,2
4,3,13,3
4,3,13,3
4,3,12,3
3,19,1,3
2,19,19,3
1,1,1,3
4,3,12,3
3,19,1,3
4,3,12,3
4,3,12,3
4,3,11,3
4,3,11,3
4,3,11,3
4,3,11,3
4,3,11,3
2,19,19,4
1,1,1,4
3,19,1,4
4,3,11,3
2,19,19,4
1,1,1,4
3,19,1,4
4,3,11,3
4,3,11,3
4,3,11,3
1,1,1,5
2,19,19,5
3,19,1,5
4,3,11,3
1,1,1,5
2,19,19,5
3,19,1,5
4,3,11,3
4,3,11,3
3,19,1,6
2,19,19,6
1,1,1,6
4,2,11,3
3,19,1,6
2,19,19,6
1,1,1,6
4,2,11,3
4,2,11,4
2,19,19,7
1,1,1,7
3,19,1,7
4,2,11,4
2,19,19,7
1,1,1,7
3,19,1,7
4,1,11,4
1,1,1,8
2,19,19,8
3,19,1,8
4,1,11,4
1,1,1,8
2,19,19,8
3,19,1,8
4,1,11,4
4,1,11,4
3,19,1,9
2,19,19,9
1,1,1,9
4,1,11,4
4,1,11,4
1,1,1,10
2,19,19,10
3,19,1,10
4,1,11,4
1,1,1,10
2,19,19,10
3,19,1,10
4,1,11,4
2,19,19,11
3,19,1,11
1,1,1,11
4,1,11,4
2,19,19,11
3,19,1,11
1,1,1,11
4,1,11,4
2,19,19,12
3,19,1,12
1,1,1,12
