id,x,y,time
4,1,19,0
4,1,19,0
4,1,19,0
2,19,19,0
3,19,1,0
1,1,1,0
4,1,19,0
2,19,19,0
1,1,1,0
3,19,1,1
4,1,19,0
2,19,19,1
1,1,1,1
3,19,1,1
4,1,19,0
2,19,19,1
1,1,1,1
3,19,1,2
4,1,19,0
2,19,19,2
1,1,1,2
3,19,1,3
4,1,19,0
2,19,19,3
1,1,1,3
3,19,1,3
4,1,19,0
2,19,19,3
1,1,1,3
3,19,1,4
4,1,19,0
2,19,19,4
1,1,1,4
3,19,1,4
4,1,19,0
2,19,19,4
1,1,1,4
3,19,1,5
4,1,19,0
2,19,19,5
1,1,1,5
3,19,1,5
4,1,19,0
2,19,19,5
1,1,1,5
3,19,1,6
4,1,19,0
2,19,19,6
1,1,1,6
3,19,1,6
4,1,19,0
2,19,19,6
1,1,1,6
3,19,1,7
4,1,19,0
2,19,19,7
1,1,1,7
3,19,1,7
4,1,19,0
2,19,19,7
1,1,1,7
3,19,1,8
4,1,19,0
2,19,19,8
1,1,1,8
3,19,1,8
4,1,19,0
2,19,19,8
1,1,1,8
3,19,1,9
4,1,19,0
2,19,19,9
1,1,1,9
3,19,1,9
4,1,19,1
2,19,19,9
1,1,1,9
3,19,1,10
4,1,19,1
2,19,19,10
1,1,1,10
3,19,1,11
4,1,19,1
2,19,19,11
1,1,1,11
3,19,1,12
4,1,19,1
2,19,19,11
1,1,1,11
3,19,1,12
4,1,19,1
2,19,19,12
1,1,1,12
3,19,1,13
4,1,19,1
2,19,19,13
1,1,1,12
3,19,1,14
4,1,19,1
2,19,19,13
1,1,1,13
3,19,1,14
4,1,19,1
2,19,19,14
1,1,1,13
3,19,1,15
4,1,19,1
2,19,19,14
1,1,1,14
3,19,1,16
4,1,19,1
2,19,19,15
1,1,1,14
3,19,1,17
4,1,19,1
2,19,19,16
1,1,1,15
3,19,1,17
4,1,18,1
2,19,19,16
3,19,1,18
4,1,18,1
2,19,19,17
1,1,1,16
3,19,1,18
4,1,18,1
2,19,19,17
1,1,1,16
3,19,1,19
4,1,18,1
2,19,19,18
1,1,1,17
3,19,1,20
4,1,18,1
1,1,1,17
3,19,1,20
4,1,18,1
2,19,19,18
1,1,1,18
3,19,1,21
4,1,18,1
2,19,19,19
1,1,1,18
3,19,1,21
4,1,17,1
2,19,19,19
1,1,1,19
3,19,1,22
4,1,17,1
2,19,19,20
1,1,1,19
4,1,17,2
2,19,19,20
1,1,1,20
3,19,1,22
4,1,17,2
2,19,19,21
1,1,1,20
3,19,1,23
4,1,17,2
2,19,19,22
1,1,1,21
