id,x,y,time
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,0
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
3,19,1,0
1,1,1,0
2,19,19,0
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,1
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
3,19,1,0
1,1,1,0
2,19,19,0
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,19,2
4,1,18,2
4,1,18,2
4,1,18,2
4,1,18,2
4,1,18,2
4,1,18,3
4,1,18,3
4,1,18,3
4,1,18,3
4,1,18,3
4,1,18,3
4,1,16,3
3,19,1,1
4,1,15,3
1,1,1,1
2,19,19,1
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,1,15,3
4,2,15,3
4,2,15,3
4,2,15,3
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
2,19,19,2
4,2,15,4
3,19,1,2
1,1,1,2
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,4
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
2,19,19,3
3,19,1,3
1,1,1,3
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,5
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
2,19,19,4
4,2,15,6
3,19,1,4
1,1,1,4
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,6
4,2,15,7
4,2,15,7
4,2,15,7
4,2,15,7
